churn,accountlength,internationalplan,voicemailplan,numbervmailmessages,totaldaycalls,totaldaycharge,totalevecalls,totalevecharge,totalnightcalls,totalnightcharge,totalintlminutes,totalintlcalls,numbercustomerservicecalls
No,0.5879629629629629,1,0,0.5208333333333333,0.5862068965517242,0.7654808959156785,0.4871794871794872,0.484800631662061,0.41880341880341887,0.6484085862324205,0.4817073170731708,0.20000000000000004,0.2
No,0.4907407407407407,1,0,0.5416666666666666,0.6982758620689655,0.43421795595708634,0.5213675213675214,0.4784840110540862,0.5213675213675214,0.6809770540340488,0.7073170731707318,0.20000000000000004,0.2
No,0.6296296296296295,1,1,0.0,0.5003343782654126,0.6960286090720873,0.5811965811965812,0.22897749703908418,0.5299145299145299,0.3752775721687639,0.6158536585365854,0.4,0.0
No,0.3842592592592592,0,1,0.0,0.24999999999999994,0.8752117447769621,0.3931623931623932,0.030003947887879995,0.4017094017094017,0.48926720947446334,0.27439024390243905,0.6000000000000001,0.4
No,0.34259259259259256,0,1,0.0,0.6120689655172413,0.450592885375494,0.6837606837606838,0.3201737070667193,0.6752136752136753,0.455958549222798,0.4878048780487805,0.20000000000000004,0.6000000000000001
No,0.5416666666666666,0,1,0.0,0.4827586206896552,0.632034632034632,0.5042735042735043,0.5625740228977498,0.6495726495726497,0.5129533678756477,0.25609756097560976,0.5000000000000001,0.0
No,0.5555555555555555,1,0,0.5,0.396551724137931,0.6152832674571805,0.5641025641025641,0.9917094354520335,0.6495726495726497,0.5418208734270911,0.3292682926829268,0.6000000000000001,0.6000000000000001
No,0.6759259259259258,0,1,0.0,0.3189655172413793,0.41953698475437606,0.4444444444444444,0.1681800236873273,0.46153846153846156,0.538860103626943,0.30487804878048774,0.5000000000000001,0.0
No,0.6481481481481481,0,0,0.7708333333333333,0.3620689655172414,0.7445887445887446,0.5897435897435898,0.5673114883537309,0.4700854700854701,0.9207994078460401,0.5548780487804879,0.4,0.0
Yes,0.2962962962962963,1,1,0.0,0.8189655172413794,0.3303218520609824,0.3504273504273504,0.589024871693644,0.5897435897435898,0.529237601776462,0.6463414634146342,0.5000000000000001,0.8
No,0.3379629629629629,1,1,0.0,0.7327586206896552,0.5177865612648221,0.9059829059829061,0.3707066719305173,0.4444444444444444,0.4863064396743154,0.426829268292683,0.4,0.0
