churn,accountlength,internationalplan,voicemailplan,numbervmailmessages,totaldayminutes,totaldaycalls,totaldaycharge,totaleveminutes,totalevecalls,totalevecharge,totalnightminutes,totalnightcalls,totalnightcharge,totalintlminutes,totalintlcalls,totalintlcharge,numbercustomerservicecalls
No,79.0,1,0,31.0,173.2,98.0,30.62938639792639,149.5,123.0,12.71,245.7,91.0,11.06,11.5,7.0,3.11,1.0
No,41.0,1,1,0.0,182.1,89.0,30.96,211.5,104.0,17.98,207.4,99.93292929292929,9.33,6.8,1.0,1.84,1.0
No,107.0,1,1,0.0,90.7,90.0,15.42,207.5,109.0,17.64,169.4,96.0,7.62,5.6,5.0,1.51,2.0
No,67.0,1,0,31.0,175.2,68.0,29.78,199.2,73.0,16.93,219.8,99.0,9.89,10.259010101010102,6.0,3.56,1.0
No,121.0,1,0,41.0,215.5,95.0,36.64,241.8,92.0,20.55,147.0,108.0,6.61,9.6,3.0,2.59,1.0
No,126.0,1,0,24.0,58.9,125.0,10.01,305.5,90.0,25.97,158.9,73.0,7.15,12.1,6.0,3.27,0.0
No,101.0,1,1,0.0,0.0,0.0,0.0,192.1,119.0,16.33,168.8,95.0,7.6,7.2,4.0,1.94,1.0
No,107.0,1,0,25.0,248.6,91.0,42.26,119.3,115.0,10.14,200.46569696969695,83.0,8.74,12.0,1.0,3.24,1.0
No,52.0,1,0,38.0,169.3,88.0,28.78,225.9,97.0,19.2,172.0,86.0,7.74,8.2,3.0,2.21,0.0
No,84.0,1,1,0.0,148.8,89.0,25.3,189.8,93.0,16.13,147.6,73.0,6.64,6.3,2.0,1.7,1.0
No,133.0,1,1,0.0,216.2,67.0,36.75,222.2,133.0,18.89,200.46569696969695,95.0,8.64,3.1,1.0,0.84,2.0
No,84.0,1,1,0.0,226.9,144.0,38.57,201.6,122.0,17.14,130.2,121.0,5.86,13.2,5.0,3.56,2.0
No,49.0,1,1,0.0,119.4,69.0,20.3,273.3,92.0,23.23,214.4,153.0,9.65,12.4,7.0,3.35,2.0
No,113.0,1,1,0.0,187.0625907917347,55.0,31.62,237.4,105.0,20.18,148.1,83.0,6.66,12.2,6.0,3.29,1.0
No,79.0,1,1,0.0,134.7,98.0,22.9,189.7,68.0,16.12,221.4,128.0,9.96,11.8,5.0,3.19,2.0
No,76.11258380076389,1,1,0.0,198.3,94.0,33.71,279.3,101.0,23.74,146.2,87.0,6.58,14.8,8.0,4.0,3.0
No,106.0,1,1,0.0,170.6,116.0,29.0,259.1,115.0,22.02,214.2,111.0,9.64,9.6,4.432525252525252,2.59,1.0
No,140.0,1,1,0.0,204.7,100.0,34.8,126.8,107.0,10.78,202.8,115.0,9.13,12.1,4.0,3.27,2.0
No,86.0,1,1,0.0,190.5,115.0,32.39,179.6,130.0,15.27,258.5,89.0,11.63,10.1,4.432525252525252,2.73,3.0
No,134.0,1,0,40.0,142.9,105.0,24.29,88.6,61.0,7.53,290.0,96.0,13.05,10.8,6.0,2.92,1.0
No,45.0,1,1,0.0,207.6,71.0,35.29,152.7,94.0,12.98,217.8,125.0,9.8,12.4,13.0,3.35,1.0
No,110.0,1,1,0.0,148.5,115.0,25.25,276.4,84.0,23.49,193.6,112.0,8.71,12.4,3.0,3.35,1.0
No,132.0,1,1,0.0,99.5,110.0,16.92,129.1,80.0,10.97,125.1,124.0,5.63,9.7,3.0,2.62,0.0
No,183.0,1,1,0.0,116.7,92.0,19.84,213.8,112.0,18.17,214.3,112.0,9.64,9.7,6.0,2.62,2.0
No,64.0,1,0,43.0,118.4,100.0,20.13,144.1,108.0,12.25,158.1,91.0,7.11,8.5,6.0,2.772088170957108,1.0
