,churn,accountlength,internationalplan,voicemailplan,numbervmailmessages,totaldayminutes,totaldaycalls,totalevecalls,totalevecharge,totalnightminutes,totalnightcalls,totalintlcalls,totalintlcharge,numbercustomerservicecalls
0,No,0.5879629629629629,1,0,0.5208333333333333,0.7701473816243338,0.5862068965517242,0.4871794871794872,0.48365498227648684,0.6484505164945018,0.41880341880341887,0.20000000000000004,0.48409090909090924,0.2
1,No,0.4907407407407407,1,0,0.5416666666666666,0.4455942301661963,0.6982758620689655,0.5213675213675214,0.4773532886963372,0.680773075641453,0.5213675213675214,0.20000000000000004,0.7113636363636365,0.2
2,No,0.6296296296296295,1,1,0.0,0.7021009720915649,0.49568965517241376,0.5811965811965812,0.22843639228042542,0.37487504165278235,0.5299145299145299,0.4,0.6181818181818183,0.0
3,No,0.3842592592592592,0,1,0.0,0.8777046095954845,0.24999999999999994,0.3931623931623932,0.02993304450571091,0.48917027657447526,0.4017094017094017,0.6000000000000001,0.275,0.4
4,No,0.34259259259259256,0,1,0.0,0.4615867042960175,0.6120689655172413,0.6837606837606838,0.31941709334383617,0.45584805064978345,0.6752136752136753,0.20000000000000004,0.49090909090909096,0.6000000000000001
5,No,0.5416666666666666,0,1,0.0,0.6393853872687364,0.4827586206896552,0.5042735042735043,0.5612445844820796,0.5124958347217594,0.6495726495726497,0.5000000000000001,0.25681818181818183,0.0
6,No,0.5555555555555555,1,0,0.5,0.6230793352148009,0.396551724137931,0.5641025641025641,0.9893658920834976,0.5414861712762413,0.6495726495726497,0.6000000000000001,0.3318181818181818,0.6000000000000001
7,No,0.6759259259259258,0,1,0.0,0.43116964565694577,0.3189655172413793,0.4444444444444444,0.1677825915714848,0.5388203932022659,0.46153846153846156,0.5000000000000001,0.3068181818181819,0.0
8,No,0.537037037037037,1,1,0.0,0.517403574788335,0.4741379310344827,0.32478632478632474,1.0,0.5521492835721427,0.41025641025641024,0.30000000000000004,0.40454545454545465,0.2
9,No,0.6481481481481481,0,0,0.7708333333333333,0.7497648165569145,0.3620689655172414,0.5897435897435898,0.5659708546671919,0.9206931022992335,0.4700854700854701,0.4,0.5568181818181819,0.0
10,Yes,0.2962962962962963,1,1,0.0,0.34368140482910003,0.8189655172413794,0.3504273504273504,0.5876329263489564,0.5288237254248584,0.5897435897435898,0.5000000000000001,0.6500000000000001,0.8
11,No,0.3379629629629629,1,1,0.0,0.5274380683599875,0.7327586206896552,0.9059829059829061,0.36983064198503346,0.48617127624125295,0.4444444444444444,0.4,0.42954545454545456,0.0
12,No,0.773148148148148,1,1,0.0,0.34274067105675765,0.46551724137931033,0.24786324786324787,0.17408428515163452,0.3032322559146951,0.7350427350427351,0.1,0.5568181818181819,0.2
13,No,0.4351851851851851,1,1,0.0,0.42991533396048914,0.396551724137931,0.28205128205128205,0.651831429696731,0.473842052649117,0.6239316239316239,0.4,0.6250000000000001,0.6000000000000001
14,No,0.2824074074074074,1,1,0.0,0.31734085920351207,0.24137931034482757,0.29059829059829057,0.8511224891689642,0.5094968343885371,0.4871794871794872,0.5000000000000001,0.6750000000000002,0.8
15,Yes,0.7407407407407407,1,1,0.0,0.9827532141737222,0.21551724137931033,0.4700854700854701,0.8865695155573061,0.3682105964678441,0.7350427350427351,0.8,0.2022727272727273,0.8
16,No,0.38888888888888884,1,0,0.5625,0.5547193477579179,0.8362068965517242,0.41025641025641024,0.7632926348956282,0.13062312562479172,0.28205128205128205,0.30000000000000004,0.7181818181818183,0.2
17,No,0.4259259259259259,1,1,0.0,0.5368454060834117,0.6206896551724137,0.5897435897435898,0.5533674675068925,0.26491169610129955,0.6752136752136753,0.20000000000000004,0.36818181818181817,0.6000000000000001
18,No,0.3472222222222222,1,0,0.6875,0.5337096268422703,0.20689655172413796,0.19658119658119655,0.5352500984639622,0.38520493168943687,0.5641025641025641,0.4,0.48409090909090924,0.2
19,No,0.3333333333333333,1,1,0.0,0.6425211665098778,0.6508620689655173,0.3931623931623932,0.35683339897597477,0.4755081639453516,0.27350427350427353,0.1,0.6681818181818182,0.2
20,No,0.6759259259259258,1,1,0.22916666666666666,0.425211665098777,0.646551724137931,0.4358974358974359,0.625049231981095,0.5288237254248584,0.7777777777777779,0.30000000000000004,0.5204545454545455,0.0
21,Yes,0.3518518518518518,1,1,0.0,0.13452492944496705,0.4051724137931035,0.6752136752136753,0.39149271366679794,0.5314895034988336,0.18803418803418803,0.5000000000000001,0.2204545454545455,1.0
23,No,0.5092592592592592,1,1,0.0,0.2850423330197554,0.5258620689655171,0.5128205128205129,0.28239464356045685,0.46484505164945017,0.5384615384615385,0.5000000000000001,0.34318181818181825,0.4
24,No,0.43287037037037035,1,1,0.0,0.19316400125431166,0.37931034482758624,0.2564102564102564,0.6435604568727845,0.6227924025324891,0.6239316239316239,0.1,0.5022727272727273,0.0
25,No,0.8009259259259258,1,1,0.0,0.3286296644716212,0.29310344827586204,0.5982905982905984,0.7502953918865696,0.6684438520493168,0.6239316239316239,0.4,0.822727272727273,0.6000000000000001
26,No,0.25925925925925924,1,0,0.8125,0.6067732831608655,0.6293103448275863,0.5982905982905984,0.46238676644348164,0.4418527157614129,0.6239316239316239,0.20000000000000004,0.4545454545454546,0.0
27,No,0.24537037037037038,1,1,0.0,0.35998745688303546,0.2672413793103448,0.49572649572649574,0.3434423001181568,0.17327557480839717,0.2222222222222222,0.30000000000000004,0.7727272727272729,0.6000000000000001
28,No,0.08796296296296297,1,1,0.0,0.5346503606146128,0.5775862068965516,0.35897435897435903,0.6872784560850729,0.4378540486504499,0.5128205128205129,0.5000000000000001,0.25681818181818183,0.0
29,No,0.38888888888888884,1,1,0.0,0.31295076826591406,0.646551724137931,0.5726495726495727,0.5427333595903899,0.42852382539153616,0.41025641025641024,0.0,0.5522727272727274,0.2
30,No,0.6527777777777777,1,1,0.0,0.20476638444653494,0.45689655172413796,0.17948717948717952,0.2804253643166601,0.6677774075308232,0.9059829059829061,0.5000000000000001,0.7409090909090911,0.4
31,No,0.34259259259259256,1,1,0.0,0.6478519912198182,0.5431034482758621,0.5555555555555556,0.4974399369830641,0.6534488503832057,0.4786324786324787,0.4,0.5022727272727273,0.2
33,Yes,0.05092592592592592,1,1,0.0,0.7215428033866416,0.6551724137931034,0.6581196581196582,0.6675856636471051,0.7667444185271577,0.41025641025641024,0.20000000000000004,0.5954545454545456,0.2
34,No,0.25925925925925924,1,0,0.5208333333333333,0.493258074631546,0.44827586206896547,0.28205128205128205,0.4757778653012996,0.5444851716094636,0.6324786324786326,0.30000000000000004,0.37954545454545463,0.0
35,No,0.32870370370370366,1,0,0.7708333333333333,0.6287237378488555,0.32758620689655177,0.5128205128205129,0.5502166207168175,0.3422192602465845,0.24786324786324787,0.5000000000000001,0.7727272727272729,0.6000000000000001
36,No,0.16203703703703703,1,0,0.625,0.39761680777673253,0.7413793103448276,0.32478632478632474,0.36667979519495864,0.26391202932355884,0.5726495726495727,0.5000000000000001,0.7613636363636365,0.0
37,No,0.35648148148148145,1,1,0.0,0.3490122295390405,0.1896551724137931,0.6324786324786326,0.5714848365498228,0.5921359546817728,0.5641025641025641,0.4,0.48409090909090924,0.2
38,No,0.6249999999999999,0,0,0.6875,0.5782376920664786,0.5517241379310345,0.4871794871794872,0.4509649468294604,0.17194268577140953,0.5555555555555556,0.5000000000000001,0.515909090909091,0.6000000000000001
39,No,0.6851851851851851,1,1,0.0,0.37911571025399815,0.44827586206896547,0.4273504273504274,0.7325718786923986,0.4605131622792403,0.5641025641025641,0.8,0.5522727272727274,0.2
40,No,0.449074074074074,1,1,0.0,0.334901222953904,0.5172413793103448,0.36752136752136755,0.3812524615990547,0.45884705098300577,0.7948717948717949,0.1,0.44772727272727286,0.6000000000000001
42,No,0.15277777777777776,1,1,0.0,0.33019755409219187,0.3448275862068965,0.4786324786324787,0.767625049231981,0.8710429856714428,0.3076923076923077,0.30000000000000004,0.48409090909090924,0.4
43,No,0.736111111111111,1,1,0.0,0.2079021636876764,0.3017241379310344,0.5811965811965812,0.3761323355651831,0.4278573808730423,0.4273504273504274,0.30000000000000004,0.4340909090909092,0.6000000000000001
44,No,0.29166666666666663,1,1,0.0,0.4217623079335215,0.21551724137931033,0.6495726495726497,0.5785742418274912,0.717094301899367,0.37606837606837606,0.20000000000000004,0.08636363636363636,0.2
45,No,0.2685185185185185,1,0,0.5833333333333333,0.3179680150517404,0.4741379310344827,0.4273504273504274,0.5360378101614809,0.37654115294901697,0.6324786324786326,0.4,0.3931818181818182,0.4
46,No,0.2962962962962963,1,1,0.0,0.6014424584509251,0.6724137931034484,0.6837606837606838,0.36707365104371803,0.2819060313228923,0.6495726495726497,0.4,0.6795454545454547,0.6000000000000001
47,No,0.6527777777777777,1,1,0.0,0.5252430228911885,0.7844827586206897,0.27350427350427353,0.27333595903899177,0.6401199600133289,0.7264957264957266,0.4,0.32500000000000007,0.4
48,Yes,0.5462962962962963,1,1,0.0,0.43775478206334273,0.6206896551724137,0.641025641025641,0.5970854667191807,0.31022992335888033,0.41880341880341887,0.20000000000000004,0.4113636363636364,1.0
49,No,0.4444444444444444,1,0,0.5,0.35653809971777983,0.8017241379310345,0.13675213675213677,0.5498227648680584,0.06831056314561809,0.3162393162393162,0.20000000000000004,0.5454545454545456,0.2
50,No,0.2361111111111111,1,1,0.0,0.5406083411727816,0.5689655172413792,0.46153846153846156,0.7258763292634896,0.6221259580139955,0.3846153846153846,0.4,0.35,0.6000000000000001
51,No,0.27314814814814814,1,1,0.0,0.6306052053935404,0.1293103448275862,0.6239316239316239,0.529342260732572,0.6627790736421193,0.7435897435897436,0.20000000000000004,0.2886363636363637,0.2
52,No,0.041666666666666664,1,1,0.0,0.5224208215741613,0.603448275862069,0.20512820512820518,0.4596297755021662,0.7754081972675775,0.1282051282051282,0.5000000000000001,0.5704545454545455,0.4
53,No,0.43981481481481477,1,1,0.0,0.4412041392285983,0.646551724137931,0.2136752136752137,0.7183930681370617,0.5944685104965013,0.2222222222222222,0.4,0.4409090909090909,0.4
54,Yes,0.3981481481481481,1,1,0.0,0.4123549702100972,0.353448275862069,0.6324786324786326,0.5580937376920048,0.5124958347217594,0.7264957264957266,0.20000000000000004,0.46590909090909105,1.0
